,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
9651,13590,LA,1,F,N,N,N,N,N,Y,N,N
9652,13591,LA,1,F,N,N,N,N,N,Y,N,N
9653,13592,LA,2,M,N,N,N,N,N,Y,N,N
9654,13593,LA,1,F,N,N,Y,N,N,N,N,N
9655,13594,LA,1,F,N,N,N,N,N,Y,N,N
9656,13595,LA,1,F,N,N,Y,N,N,N,N,N
9657,13596,LA,2,F,N,N,N,N,N,Y,N,N
9658,13597,LA,1,F,N,N,N,N,N,Y,N,N
9659,13598,AR,1,M,N,Y,N,N,N,Y,N,N
9660,13599,LA,2,F,N,N,Y,N,N,N,N,N
9661,13600,LA,1,F,N,N,Y,N,N,N,N,N
9662,13601,LA,2,M,N,N,N,Y,N,N,N,N
9663,13602,LA,2,M,N,N,N,N,N,Y,N,N
9664,13603,LA,1,F,Y,N,N,N,N,Y,N,N
9665,13604,BU,1,M,N,N,N,N,N,Y,N,N
9666,13605,LA,2,F,N,N,Y,N,N,N,N,N
9667,13606,LA,0,M,N,N,N,N,N,Y,N,N
9668,13607,LA,1,M,N,N,N,N,N,Y,N,N
9669,13608,LA,1,F,N,N,N,N,N,Y,N,N
9670,13609,LA,1,F,N,N,N,N,N,Y,N,N
9671,13610,LA,2,F,N,N,N,N,N,Y,N,N
9672,13611,LA,2,F,N,N,N,N,N,Y,N,N
9673,13612,LA,1,M,Y,N,N,N,N,Y,N,N
9674,13613,LA,2,F,Y,N,N,N,N,Y,N,N
9675,13614,LA,1,F,N,N,Y,N,N,N,N,N
9676,13615,AR,1,M,N,N,N,N,N,Y,N,N
9677,13616,EN,1,F,N,N,N,N,N,Y,N,N
9678,13617,EN,6,M,N,N,Y,N,N,N,Y,N
9679,13618,EN,2,M,N,N,Y,N,N,N,N,N
9680,13619,EN,1,F,Y,N,N,N,N,Y,N,N
9681,13620,LA,2,M,N,N,N,N,N,Y,N,N
9682,13621,LA,2,F,N,N,Y,N,N,N,N,N
9683,13622,LA,1,M,N,N,Y,N,N,N,N,N
9684,13623,LA,1,M,Y,N,N,N,N,Y,N,N
9685,13624,LA,0,F,N,N,N,Y,N,N,N,N
9686,13625,FA,2,F,N,N,Y,N,N,N,Y,N
9687,13626,LA,2,F,N,N,N,N,N,Y,N,N
9688,13627,AR,1,M,N,N,Y,N,N,N,Y,N
9689,13628,LA,2,F,N,N,N,N,N,Y,N,N
9690,13629,LA,0,F,N,N,N,N,N,Y,N,N
9691,13630,LA,1,M,N,N,N,N,N,Y,N,N
9692,13631,LA,1,F,N,N,N,N,N,N,N,Y
9693,13632,LA,2,F,N,N,Y,N,N,N,N,N
9694,13633,BU,1,F,N,N,N,N,N,Y,N,N
9695,13634,LA,1,F,N,N,N,N,N,Y,N,N
9696,13635,LA,1,F,N,N,Y,N,N,Y,N,N
9697,13636,BU,2,M,N,N,N,N,N,Y,N,N
9698,13637,LA,2,F,N,N,N,N,N,Y,N,N
9699,13638,LA,1,F,N,N,N,N,N,N,Y,N
9700,13639,LA,2,F,Y,N,N,N,N,Y,N,N
9701,13640,LA,2,F,N,N,N,N,N,Y,N,N
9702,13641,BU,1,M,N,N,N,Y,N,N,N,N
9703,13642,LA,2,F,N,N,N,N,N,Y,N,N
9704,13643,LA,2,M,N,N,N,N,N,Y,N,N
9705,13644,LA,2,M,N,N,Y,N,N,N,N,N
9706,13645,LA,1,F,N,N,N,N,N,Y,N,N
9707,13646,EN,1,M,N,N,N,N,N,Y,N,N
9708,13647,FA,1,F,N,N,N,N,N,Y,N,N
9709,13648,LA,2,F,N,N,Y,N,N,N,N,N
9710,13649,LA,1,F,N,N,N,Y,N,N,N,N
9711,13650,BU,1,M,N,N,N,N,N,Y,N,N
9712,13651,LA,2,F,N,N,N,N,N,Y,N,N
9713,13652,LA,2,F,N,N,Y,N,N,N,N,N
9714,13653,LA,2,F,N,N,Y,N,N,N,N,N
9715,13654,LA,2,F,N,N,Y,N,N,N,N,N
9716,13655,LA,2,M,N,N,N,N,N,Y,N,N
9717,13656,AR,1,F,N,N,Y,N,N,N,N,N
9718,13657,BU,2,F,N,N,N,N,N,Y,N,N
9719,13658,LA,0,M,N,N,N,N,N,Y,N,N
9720,13659,EN,2,F,N,N,Y,N,N,N,N,N
9721,13660,BU,2,F,N,N,N,N,N,N,N,Y
9722,13661,EN,2,F,N,N,Y,N,N,N,N,N
9723,13662,FA,1,F,N,N,N,N,N,Y,N,N
9724,13663,LA,1,F,N,N,Y,N,N,N,Y,N
9725,13664,FA,2,M,N,N,N,N,N,Y,N,N
9726,13665,BU,0,F,N,N,N,Y,N,N,N,N
9727,13666,BU,1,M,N,N,N,N,N,Y,N,N
9728,13667,LA,2,F,N,N,N,N,N,Y,N,N
9729,13668,LA,1,F,N,N,N,N,N,Y,N,N
9730,13669,LA,1,F,N,N,N,N,N,Y,N,N
